government_capability,sfia_code,sfia_skill,score,priority,needs_review
Test engineering,TEST,Functional testing,0.0,primary,YES
Test engineering,NFTS,Non-functional testing,0.0,secondary,YES
Test engineering,PROG,Programming/software development,0.0,tertiary,YES
Testing,TEST,Functional testing,1.0,primary,
Testing,NFTS,Non-functional testing,1.0,secondary,
Testing (business analysis),TEST,Functional testing,0.3333333333333333,primary,
Testing (business analysis),BPTS,User acceptance testing,0.3333333333333333,secondary,
Turning business problems into data design,DTAN,Data modelling and design,0.3333333333333333,primary,
Turning business problems into data design,BUSA,Business situation analysis,0.16666666666666666,secondary,
User focus,UNAN,User experience analysis,0.5,primary,
User focus,URCH,User research,0.5,secondary,
User focus (frontend developer),UNAN,User experience analysis,0.25,primary,
User focus (frontend developer),HCEV,User experience design,0.25,secondary,
User-centred practice and advocacy,UNAN,User experience analysis,0.0,primary,YES
User-centred practice and advocacy,URCH,User research,0.0,secondary,YES
Web performance optimisation,NFTS,Non-functional testing,0.0,primary,YES
Web performance optimisation,PROG,Programming/software development,0.0,secondary,YES
